Cost Category,Cost Sub Category,Cost Item,Description,Cost,Source,Institution,Justification
Direct costs,Personell,Other,Salary Open Science Specialist Lars Schöbitz,,In-kind,A,
Direct costs,Personell,Other,Salary Scientific Assisstant,,ORD,A,
Subcontracting costs,Personell,Other,Salary Data Steward 1 (University South Africa),,ORD,B,
Subcontracting costs,Personell,Other,Salary Data Steward 1 (University South Africa),,In-kind,A,
Subcontracting costs,Personell,Other,Salary Data Steward 2 (NGO Malawi),,ORD,C,
Subcontracting costs,Personell,Other,Salary Data Steward 2 (NGO Malawi),,In-kind,A,
Direct costs,Other,Conferences and workshops,Expenses for hosting of openwashdata data steward conference,,In-kind,A,
NA,NA,NA,NA,,NA,NA,
NA,NA,NA,NA,,NA,NA,
NA,NA,NA,NA,,Source,Institution,
NA,NA,NA,NA,,ORD,A,
NA,NA,NA,NA,,ORD,B,
NA,NA,NA,NA,,ORD,C,
NA,NA,NA,NA,,In-kind,A,
NA,NA,NA,NA,,In-kind,B,
NA,NA,NA,NA,,In-kind,C,
NA,NA,NA,NA,,Total,NA,
NA,NA,NA,NA,,NA,NA,
NA,NA,NA,NA,,Source,NA,
NA,NA,NA,NA,,ORD,NA,
NA,NA,NA,NA,,In-kind,NA,
